# Energy_eV TotalXS_barn
1.213623798344240501e-02 5.427644936376071705e+00
1.222044686631488034e-02 5.399362503406095470e+00
1.230524004359261590e-02 5.371299931704065500e+00
1.239062156947916271e-02 5.343455883588895006e+00
1.247659552630869806e-02 5.315829031879778732e+00
1.256316602474120796e-02 7.422477056447463362e+00
1.265033720395903130e-02 7.380669215938934435e+00
1.273811323186478488e-02 7.339176633629072022e+00
1.282649830528060503e-02 7.297997329976295688e+00
1.291549665014883955e-02 7.257129340473036372e+00
1.300511252173409266e-02 7.216570715552487414e+00
1.309535020482666991e-02 7.176319520496062587e+00
1.318621401394748545e-02 7.136460322956775570e+00
1.327770829355429810e-02 7.096918110725129125e+00
1.336983741824946531e-02 7.057678305325961965e+00
1.346260579298910395e-02 7.018739035330585629e+00
1.355601785329368231e-02 6.980098443739876757e+00
1.365007806546013856e-02 6.941754687896197318e+00
1.374479092677537324e-02 6.903762968682262802e+00
1.384016096573131502e-02 6.866166884226616141e+00
1.393619274224142807e-02 6.828863299233860928e+00
1.403289084785872519e-02 6.791850435223158122e+00
1.413025990599533696e-02 6.755126527678417148e+00
1.422830457214352591e-02 6.718689825964708540e+00
1.432702953409830879e-02 6.682538593245332947e+00
1.442643951218158110e-02 6.646803817701488981e+00
1.452653925946780465e-02 6.611376061976648622e+00
1.462733356201129965e-02 6.576229740891815112e+00
1.472882723907502529e-02 6.541363179579420262e+00
1.483102514336104467e-02 6.506774716618115129e+00
1.493393216124252500e-02 6.472462703954171559e+00
1.503755321299737706e-02 6.438470585577402261e+00
1.514189325304352018e-02 6.404841920260667898e+00
1.524695727017573790e-02 6.371485779568765828e+00
1.535275028780422671e-02 6.338400574661033460e+00
1.545927736419477720e-02 6.305584729726236404e+00
1.556654359271061189e-02 6.273036681908117806e+00
1.567455410205595076e-02 6.240754881231532103e+00
1.578331405652117284e-02 6.208856345369531127e+00
1.589282865622978005e-02 6.177247528663133203e+00
1.600310313738700918e-02 6.145901392445978217e+00
1.611414277253019056e-02 6.114816444526796957e+00
1.622595287078087284e-02 6.083991205284045023e+00
1.633853877809861299e-02 6.053424207596128426e+00
1.645190587753662601e-02 6.023166513345742601e+00
1.656605958949914498e-02 5.993281853350394428e+00
1.668100537200059227e-02 5.963652288854568440e+00
1.679674872092653051e-02 5.934276410245051814e+00
1.691329517029648011e-02 5.905152820125475266e+00
1.703065029252844378e-02 5.876280133250522120e+00
1.714881969870540174e-02 5.847656976460696043e+00
1.726780903884355886e-02 8.307974611920824870e+00
1.738762400216250364e-02 8.262780571145583508e+00
1.750827031735724404e-02 8.217950755822620579e+00
1.762975375287205784e-02 8.173483030204700128e+00
1.775208011717635190e-02 8.129375275951780111e+00
1.787525525904235316e-02 8.085625392030802772e+00
1.799928506782476345e-02 8.042291707000480017e+00
1.812417547374236756e-02 7.999464044656379613e+00
1.824993244816152521e-02 7.956989528350408847e+00
1.837656200388171346e-02 7.914866135533189073e+00
1.850407019542302245e-02 7.873091860544821685e+00
1.863246311931559748e-02 7.831664714520157666e+00
1.876174691439120440e-02 7.790582725294821209e+00
1.889192776207666499e-02 8.460964193233429853e+00
1.902301188668944695e-02 8.415733094472958697e+00
1.915500555573527997e-02 8.370875559143723166e+00
1.928791508020777715e-02 8.326389451490674887e+00
1.942174681489025612e-02 8.282272653627261505e+00
1.955650715865949255e-02 8.238523065435401804e+00
1.969220255479172538e-02 8.195183825769271735e+00
1.982883949127071249e-02 8.152336716608406419e+00
1.996642450109793396e-02 8.109851831718414061e+00
2.010496416260498104e-02 8.067727149462854186e+00
2.024446509976803726e-02 8.025960665544580763e+00
2.038493398252463201e-02 7.984550392911182293e+00
2.052637752709252084e-02 7.943494361661281644e+00
2.066880249629082095e-02 7.902833743373949282e+00
2.081221569986338102e-02 7.862538336000779893e+00
2.095662399480432980e-02 7.822591764608920251e+00
2.110203428568595621e-02 7.782992129772148715e+00
2.124845352498882720e-02 7.743737548778496738e+00
2.139588871343421628e-02 7.704826155541589117e+00
2.154434690031883232e-02 7.666269221773311493e+00
2.169383518385184506e-02 7.628094527973708239e+00
2.184436071149427339e-02 7.590257910115925988e+00
2.199593068030074663e-02 7.552757570434740941e+00
2.214855233726359396e-02 7.515591727377961107e+00
2.230223297965937615e-02 7.478758615522684394e+00
2.245697995539773853e-02 7.442256485492356077e+00
2.261280066337278266e-02 7.406093953167191657e+00
2.276970255381680075e-02 7.370262990833865047e+00
2.292769312865649764e-02 7.334757957491754965e+00
2.308677994187168653e-02 7.299577167828338986e+00
2.324697059985647921e-02 7.264718952179078038e+00
2.340827276178293267e-02 7.230181656449104821e+00
2.357069413996727703e-02 7.195969040287516272e+00
2.373424250023867602e-02 7.162094346159538993e+00
2.389892566231048912e-02 7.128535880372837141e+00
2.406475150015424322e-02 7.095292051578764081e+00
2.423172794237599473e-02 7.062361283626699127e+00
2.439986297259550199e-02 7.029742015490263896e+00
2.456916462982791302e-02 6.997432701194306048e+00
2.473964100886812817e-02 6.965396100014149994e+00
2.491130026067788633e-02 6.933650720330395423e+00
2.508415059277539771e-02 7.222400278163029874e+00
2.525820026962784584e-02 7.189057136855440788e+00
2.543345761304649510e-02 7.156031284898012323e+00
2.560993100258458083e-02 7.123321157855486696e+00
2.578762887593800956e-02 7.090949027684523287e+00
2.596655972934871007e-02 7.058993925925565627e+00
2.614673211801091940e-02 7.027350836662900946e+00
2.632815465648021339e-02 6.996018262262191811e+00
2.651083601908537507e-02 6.964994720111835846e+00
2.669478494034320873e-02 6.934278742553827257e+00
2.688001021537606006e-02 6.903868876815380418e+00
2.706652070033241375e-02 6.873995850808232611e+00
2.725432531281029094e-02 6.844540252787106205e+00
2.744343303228364075e-02 6.815388900053138244e+00
2.763385290053169824e-02 6.786540415379431757e+00
2.782559402207124277e-02 6.757993436208835192e+00
2.801866556459195468e-02 6.729746614590638387e+00
2.821307675939472084e-02 6.701798270465321394e+00
2.840883690183302474e-02 6.674145628286192178e+00
2.860595535175742068e-02 6.646789171906114291e+00
2.880444153396296419e-02 6.619727611077863116e+00
2.900430493863991738e-02 6.592959669854057125e+00
2.920555512182746588e-02 6.566484086528083353e+00
2.940820170587062077e-02 6.540299613575712101e+00
2.961225437988034351e-02 6.514251330149562591e+00
2.981772290019671715e-02 7.417578943366904376e+00
3.002461709085549324e-02 7.385618094467364614e+00
3.023294684405777866e-02 7.353985964160651534e+00
3.044272212064302874e-02 7.322681059422393446e+00
3.065395295056526706e-02 7.291701903089601089e+00
3.086664943337272954e-02 7.261019547990894552e+00
3.108082173869063797e-02 7.230486414332249367e+00
3.129648010670751934e-02 7.200273296677432988e+00
3.151363484866478992e-02 8.009723535773966674e+00
3.173229634734976018e-02 7.974362420813172925e+00
3.195247505759211959e-02 7.939356950860680939e+00
3.217418150676371741e-02 7.904705473386669290e+00
3.239742629528197249e-02 7.870317939781609873e+00
3.262222009711669701e-02 7.836227271218738188e+00
3.284857366030043829e-02 7.802484752910157084e+00
3.307649780744240792e-02 7.769088793653102343e+00
3.330600343624588733e-02 7.736037819055550102e+00
3.353710152002930406e-02 7.703330271463083356e+00
