Time_of_Flight_(µs),Corrected_Flux,Corrected_Flux_Uncertainty
5.529999999999998863e+02,2.361400000000000000e+04,1.536684743205332779e+02
5.549999999999998863e+02,2.359000000000000000e+04,1.535903642810953897e+02
5.569999999999998863e+02,2.366500000000000000e+04,1.538343264684444875e+02
5.589999999999998863e+02,2.379200000000000000e+04,1.542465558772710210e+02
5.610000000000000000e+02,2.393000000000000000e+04,1.546932448428196949e+02
5.629999999999998863e+02,2.385000000000000000e+04,1.544344521148050262e+02
5.650000000000000000e+02,2.382400000000000000e+04,1.543502510525977414e+02
5.669999999999998863e+02,2.380300000000000000e+04,1.542822089548899385e+02
5.690000000000000000e+02,2.375800000000000000e+04,1.541363033162524516e+02
5.709999999999998863e+02,2.385600000000000000e+04,1.544538766104633396e+02
5.729999999999998863e+02,2.398700000000000000e+04,1.548773708454536973e+02
5.749999999999998863e+02,2.360200000000000000e+04,1.536294242650146771e+02
5.769999999999998863e+02,2.377100000000000000e+04,1.541784680167766055e+02
5.789999999999998863e+02,2.373300000000000000e+04,1.540551849176117685e+02
5.809999999999998863e+02,2.354000000000000000e+04,1.534275073120843444e+02
5.830000000000000000e+02,2.392300000000000000e+04,1.546706177656233194e+02
5.849999999999998863e+02,2.358700000000000000e+04,1.535805977329182497e+02
5.870000000000000000e+02,2.394200000000000000e+04,1.547320264198715449e+02
5.889999999999998863e+02,2.381600000000000000e+04,1.543243337908825197e+02
5.910000000000000000e+02,2.407700000000000000e+04,1.551676512679114239e+02
5.929999999999998863e+02,2.381700000000000000e+04,1.543275736866235093e+02
5.949999999999998863e+02,2.355200000000000000e+04,1.534666087460063864e+02
5.969999999999998863e+02,2.358500000000000000e+04,1.535740863557402918e+02
5.989999999999998863e+02,2.371100000000000000e+04,1.539837653780414257e+02
6.010000000000000000e+02,2.354500000000000000e+04,1.534438007871285663e+02
6.029999999999998863e+02,2.368800000000000000e+04,1.539090640605681983e+02
6.050000000000000000e+02,2.343900000000000000e+04,1.530980078250540828e+02
6.069999999999998863e+02,2.311200000000000000e+04,1.520263135118402715e+02
6.090000000000000000e+02,2.309000000000000000e+04,1.519539403898415912e+02
6.109999999999998863e+02,2.325600000000000000e+04,1.524991803256671119e+02
6.129999999999998863e+02,2.314600000000000000e+04,1.521380951635728707e+02
6.149999999999998863e+02,2.308000000000000000e+04,1.519210321186619694e+02
6.169999999999998863e+02,2.310500000000000000e+04,1.520032894380892685e+02
6.189999999999998863e+02,2.294600000000000000e+04,1.514793715328924009e+02
6.209999999999998863e+02,2.270400000000000000e+04,1.506784656146992347e+02
6.230000000000000000e+02,2.281700000000000000e+04,1.510529708413560002e+02
6.249999999999998863e+02,2.275700000000000000e+04,1.508542342793189164e+02
6.270000000000000000e+02,2.302500000000000000e+04,1.517399090549333778e+02
6.289999999999998863e+02,2.279200000000000000e+04,1.509701957341239904e+02
6.309999999999998863e+02,2.279600000000000000e+04,1.509834428008580289e+02
6.329999999999998863e+02,2.266700000000000000e+04,1.505556375563537586e+02
6.349999999999998863e+02,2.274600000000000000e+04,1.508177708361981786e+02
6.369999999999998863e+02,2.260500000000000000e+04,1.503495926166760910e+02
6.389999999999998863e+02,2.240400000000000000e+04,1.496796579365400248e+02
6.410000000000000000e+02,2.210800000000000000e+04,1.486875919503690966e+02
6.429999999999998863e+02,2.260900000000000000e+04,1.503628943589465052e+02
6.450000000000000000e+02,2.276200000000000000e+04,1.508708056583527650e+02
6.469999999999998863e+02,2.239900000000000000e+04,1.496629546681469947e+02
6.490000000000000000e+02,2.221700000000000000e+04,1.490536816049825575e+02
6.509999999999998863e+02,2.229700000000000000e+04,1.493218001498789818e+02
6.529999999999998863e+02,2.233100000000000000e+04,1.494356048604204261e+02
6.549999999999998863e+02,2.229900000000000000e+04,1.493284969454944076e+02
6.569999999999998863e+02,2.185800000000000000e+04,1.478445129181345692e+02
6.590000000000000000e+02,2.188800000000000000e+04,1.479459360712571652e+02
6.609999999999998863e+02,2.190900000000000000e+04,1.480168909280291700e+02
6.630000000000000000e+02,2.202000000000000000e+04,1.483913744123965444e+02
6.649999999999998863e+02,2.180000000000000000e+04,1.476482306023353885e+02
6.670000000000000000e+02,2.202300000000000000e+04,1.484014824723781203e+02
6.689999999999998863e+02,2.174800000000000000e+04,1.474720312466051837e+02
6.709999999999998863e+02,2.188600000000000000e+04,1.479391766909648140e+02
6.729999999999998863e+02,2.203600000000000000e+04,1.484452761121065123e+02
6.749999999999998863e+02,2.159400000000000000e+04,1.469489707347420335e+02
6.769999999999998863e+02,2.147000000000000000e+04,1.465264481245612842e+02
6.789999999999998863e+02,2.152300000000000000e+04,1.467071913711115485e+02
6.810000000000000000e+02,2.153700000000000000e+04,1.467548977036203723e+02
6.829999999999998863e+02,2.158500000000000000e+04,1.469183446680508496e+02
6.850000000000000000e+02,2.177500000000000000e+04,1.475635456337367941e+02
6.869999999999998863e+02,2.167100000000000000e+04,1.472107333043350081e+02
6.889999999999998863e+02,2.124300000000000000e+04,1.457497855916080880e+02
6.909999999999998863e+02,2.154000000000000000e+04,1.467651184716596617e+02
6.929999999999998863e+02,2.138700000000000000e+04,1.462429485479551658e+02
6.949999999999998863e+02,2.137500000000000000e+04,1.462019151721360686e+02
6.969999999999998863e+02,2.153700000000000000e+04,1.467548977036203723e+02
6.990000000000000000e+02,2.150700000000000000e+04,1.466526508454589930e+02
7.009999999999998863e+02,2.150400000000000000e+04,1.466424222385867324e+02
7.030000000000000000e+02,2.127100000000000000e+04,1.458458089901796484e+02
7.049999999999998863e+02,2.138100000000000000e+04,1.462224332994082943e+02
7.070000000000000000e+02,2.137700000000000000e+04,1.462087548678246094e+02
7.089999999999998863e+02,2.132800000000000000e+04,1.460410901082286728e+02
7.109999999999998863e+02,2.091200000000000000e+04,1.446098198602012417e+02
7.129999999999998863e+02,2.114900000000000000e+04,1.454269576110273192e+02
7.149999999999998863e+02,2.116300000000000000e+04,1.454750837772589875e+02
7.169999999999998863e+02,2.145800000000000000e+04,1.464854941623925697e+02
7.189999999999998863e+02,2.104000000000000000e+04,1.450517149157494714e+02
7.210000000000000000e+02,2.115900000000000000e+04,1.454613350688086939e+02
7.229999999999998863e+02,2.111500000000000000e+04,1.453100134195847204e+02
7.250000000000000000e+02,2.121100000000000000e+04,1.456399670420178154e+02
7.269999999999998863e+02,2.122200000000000000e+04,1.456777265061464277e+02
7.289999999999998863e+02,2.145200000000000000e+04,1.464650128870380286e+02
7.309999999999998863e+02,2.117100000000000000e+04,1.455025772967601370e+02
7.329999999999998863e+02,2.088300000000000000e+04,1.445095152576468536e+02
7.349999999999998863e+02,2.100000000000000000e+04,1.449137674618941674e+02
7.369999999999998863e+02,2.099000000000000000e+04,1.448792600754168234e+02
7.390000000000000000e+02,2.120500000000000000e+04,1.456193668438354507e+02
7.409999999999998863e+02,2.104500000000000000e+04,1.450689491242010263e+02
7.430000000000000000e+02,2.054800000000000000e+04,1.433457358975138050e+02
7.449999999999998863e+02,2.071500000000000000e+04,1.439270648627280025e+02
7.469999999999998863e+02,2.083700000000000000e+04,1.443502684445011255e+02
7.489999999999998863e+02,2.076900000000000000e+04,1.441145377815846587e+02
7.509999999999998863e+02,2.070400000000000000e+04,1.438888459888403304e+02
7.529999999999998863e+02,2.090300000000000000e+04,1.445786982926583732e+02
7.549999999999998863e+02,2.078000000000000000e+04,1.441526968183388817e+02
7.570000000000000000e+02,2.059500000000000000e+04,1.435095815616514301e+02
7.589999999999998863e+02,2.042300000000000000e+04,1.429090619939815952e+02
